id,identifier,id_type,struct_id,parent_match
1056756,DB00491,DRUGBANK_ID,1806,
1056757,DB00492,DRUGBANK_ID,1245,
1056758,DB00493,DRUGBANK_ID,546,
1056759,DB00494,DRUGBANK_ID,1018,
1056760,DB00495,DRUGBANK_ID,2861,
1056761,DB00496,DRUGBANK_ID,784,
1056762,DB00497,DRUGBANK_ID,2029,
1056763,DB00498,DRUGBANK_ID,2130,
1056764,DB00499,DRUGBANK_ID,1223,
1056765,DB00500,DRUGBANK_ID,2699,
1056766,DB00501,DRUGBANK_ID,645,
1056767,DB00502,DRUGBANK_ID,1353,
1056768,DB00503,DRUGBANK_ID,2391,
1056769,DB00504,DRUGBANK_ID,1560,
1056770,DB00505,DRUGBANK_ID,2737,
1056771,DB00507,DRUGBANK_ID,1943,
1056772,DB00508,DRUGBANK_ID,2742,
1056773,DB00509,DRUGBANK_ID,846,
1056774,DB00511,DRUGBANK_ID,67,
1056775,DB00512,DRUGBANK_ID,2807,
1056776,DB00513,DRUGBANK_ID,163,
1056777,DB00514,DRUGBANK_ID,842,
1056778,DB00515,DRUGBANK_ID,4392,
1056779,DB00516,DRUGBANK_ID,5116,
1056780,DB00517,DRUGBANK_ID,223,
1056781,DB00518,DRUGBANK_ID,103,
1056782,DB00519,DRUGBANK_ID,2712,
1056783,DB00520,DRUGBANK_ID,2977,
1056784,DB00521,DRUGBANK_ID,520,
1056785,DB00522,DRUGBANK_ID,316,
1056786,DB00523,DRUGBANK_ID,3862,
1056787,DB00524,DRUGBANK_ID,1783,
1056788,DB00525,DRUGBANK_ID,3617,
1056789,DB00526,DRUGBANK_ID,4210,
1056790,DB00527,DRUGBANK_ID,859,
1056791,DB00528,DRUGBANK_ID,4157,
1056792,DB00529,DRUGBANK_ID,1241,
1056793,DB00530,DRUGBANK_ID,1045,
1056794,DB00531,DRUGBANK_ID,758,
1056795,DB00532,DRUGBANK_ID,1695,
1056796,DB00533,DRUGBANK_ID,2397,
1056797,DB00534,DRUGBANK_ID,4911,
1056798,DB00535,DRUGBANK_ID,533,
