hgnc_id	symbol	status	entrez_id
13096	ZNF33A	Approved	7581.0
13097	ZNF33B	Approved	7582.0
44975	ZNF33BP1	Approved	100419868.0
30957	ZNF33CP	Approved	79231.0
13098	ZNF34	Approved	80778.0
13099	ZNF35	Approved	7584.0
13100	ZNF35P	Entry Withdrawn	
13102	ZNF37A	Approved	7587.0
13103	ZNF37BP	Approved	100129482.0
29445	ZNF37CP	Approved	79232.0
13107	ZNF41	Approved	7592.0
13109	ZNF43	Approved	7594.0
13106	ZNF43L	Entry Withdrawn	
13110	ZNF44	Approved	51710.0
13111	ZNF45	Approved	7596.0
13114	ZNF48	Approved	197407.0
13119	ZNF53A	Entry Withdrawn	
13120	ZNF53B	Entry Withdrawn	
13121	ZNF54A	Entry Withdrawn	
13122	ZNF54B	Entry Withdrawn	
13124	ZNF56	Approved	7608.0
13125	ZNF57	Approved	126295.0
13127	ZNF59	Entry Withdrawn	
13132	ZNF63	Entry Withdrawn	
13135	ZNF66	Approved	7617.0
13137	ZNF68	Entry Withdrawn	
13138	ZNF69	Approved	7620.0
13140	ZNF70	Approved	7621.0
13846	ZNF70P1	Approved	100419609.0
13141	ZNF71	Approved	58491.0
13142	ZNF72P	Approved	100287084.0
13143	ZNF73	Approved	105379427.0
13144	ZNF74	Approved	7625.0
13146	ZNF75A	Approved	7627.0
13147	ZNF75BP	Approved	7628.0
13148	ZNF75CP	Approved	729944.0
13145	ZNF75D	Approved	7626.0
13149	ZNF76	Approved	7629.0
13150	ZNF77	Approved	58492.0
13152	ZNF78L2	Entry Withdrawn	
13153	ZNF79	Approved	7633.0
13155	ZNF80	Approved	7634.0
13156	ZNF81	Approved	347344.0
13158	ZNF83	Approved	55769.0
13159	ZNF84	Approved	7637.0
13160	ZNF85	Approved	7639.0
13161	ZNF86	Entry Withdrawn	
13162	ZNF87	Entry Withdrawn	
13163	ZNF88	Entry Withdrawn	
13165	ZNF90	Approved	7643.0
12888	ZNF90P1	Approved	7661.0
21687	ZNF90P2	Approved	100419606.0
39882	ZNF90P3	Approved	100873799.0
13166	ZNF91	Approved	7644.0
13168	ZNF92	Approved	168374.0
39553	ZNF92P1Y	Approved	100419554.0
39554	ZNF92P2	Approved	100419705.0
39555	ZNF92P3	Approved	100419711.0
13169	ZNF93	Approved	81931.0
13170	ZNF94	Entry Withdrawn	
13171	ZNF95	Entry Withdrawn	
13173	ZNF97	Entry Withdrawn	
13174	ZNF98	Approved	148198.0
13175	ZNF99	Approved	7652.0
12880	ZNF100	Approved	163227.0
12881	ZNF101	Approved	94039.0
44940	ZNF101P1	Approved	100419867.0
44942	ZNF101P2	Approved	730190.0
12882	ZNF102	Entry Withdrawn	
12883	ZNF103	Entry Withdrawn	
12884	ZNF104	Entry Withdrawn	
12885	ZNF105	Entry Withdrawn	
12886	ZNF106	Approved	64397.0
12887	ZNF107	Approved	51427.0
12889	ZNF109	Entry Withdrawn	
12890	ZNF110	Entry Withdrawn	
12891	ZNF111	Entry Withdrawn	
12892	ZNF112	Approved	7771.0
12893	ZNF113	Entry Withdrawn	
12894	ZNF114	Approved	163071.0
23771	ZNF114P1	Approved	100132509.0
12896	ZNF116	Entry Withdrawn	
12897	ZNF117	Approved	51351.0
12898	ZNF118	Entry Withdrawn	
12899	ZNF119	Entry Withdrawn	
12903	ZNF120	Entry Withdrawn	
12904	ZNF121	Approved	7675.0
12905	ZNF122	Entry Withdrawn	
12906	ZNF123P	Approved	100188891.0
12907	ZNF124	Approved	7678.0
12908	ZNF125	Entry Withdrawn	
12909	ZNF126	Entry Withdrawn	
12911	ZNF128	Entry Withdrawn	
12912	ZNF129	Entry Withdrawn	
12914	ZNF130	Entry Withdrawn	
12915	ZNF131	Approved	7690.0
12916	ZNF132	Approved	7691.0
